svg	png	kind	xml	forbidden	dashed_marker	connector	geometry	endpoint	mixed_corner	sequence_style	render	png_dims	log
docs/assets/readme-diagrams/10-multi-tenant-04-connection-factory-per-tenant-architecture-01.svg	docs/assets/readme-diagrams/10-multi-tenant-04-connection-factory-per-tenant-architecture-01.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3000x2080	/tmp/exposed-r2dbc-diagram-audit/10-multi-tenant-04-connection-factory-per-tenant-architecture-01.svg.log
docs/assets/readme-diagrams/10-multi-tenant-05-spring-security-tenant-authorization-architecture-01.svg	docs/assets/readme-diagrams/10-multi-tenant-05-spring-security-tenant-authorization-architecture-01.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3000x2080	/tmp/exposed-r2dbc-diagram-audit/10-multi-tenant-05-spring-security-tenant-authorization-architecture-01.svg.log
docs/assets/readme-diagrams/10-multi-tenant-07-multitenant-ktor-architecture-01.svg	docs/assets/readme-diagrams/10-multi-tenant-07-multitenant-ktor-architecture-01.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3000x2040	/tmp/exposed-r2dbc-diagram-audit/10-multi-tenant-07-multitenant-ktor-architecture-01.svg.log
docs/assets/readme-diagrams/10-multi-tenant-strategy-map-01.svg	docs/assets/readme-diagrams/10-multi-tenant-strategy-map-01.png	strategy	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3200x1880	/tmp/exposed-r2dbc-diagram-audit/10-multi-tenant-strategy-map-01.svg.log
docs/assets/readme-diagrams/12-production-integration-01-spring-package-layout-01.svg	docs/assets/readme-diagrams/12-production-integration-01-spring-package-layout-01.png	package	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3600x2320	/tmp/exposed-r2dbc-diagram-audit/12-production-integration-01-spring-package-layout-01.svg.log
docs/assets/readme-diagrams/12-production-integration-02-ktor-package-layout-01.svg	docs/assets/readme-diagrams/12-production-integration-02-ktor-package-layout-01.png	package	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3600x2320	/tmp/exposed-r2dbc-diagram-audit/12-production-integration-02-ktor-package-layout-01.svg.log
docs/assets/readme-diagrams/exposed-r2dbc-workshop-architecture-01.svg	docs/assets/readme-diagrams/exposed-r2dbc-workshop-architecture-01.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2640x1600	/tmp/exposed-r2dbc-diagram-audit/exposed-r2dbc-workshop-architecture-01.svg.log
docs/assets/readme-diagrams/issue-41-tenant-onboarding-r2dbc-01.svg	docs/assets/readme-diagrams/issue-41-tenant-onboarding-r2dbc-01.png	diagram	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	2960x1800	/tmp/exposed-r2dbc-diagram-audit/issue-41-tenant-onboarding-r2dbc-01.svg.log
docs/assets/readme-diagrams/issue-44-production-architecture-r2dbc-01.svg	docs/assets/readme-diagrams/issue-44-production-architecture-r2dbc-01.png	architecture	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3600x2320	/tmp/exposed-r2dbc-diagram-audit/issue-44-production-architecture-r2dbc-01.svg.log
docs/assets/readme-diagrams/issue-45-auth-session-r2dbc-01.svg	docs/assets/readme-diagrams/issue-45-auth-session-r2dbc-01.png	diagram	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3600x2320	/tmp/exposed-r2dbc-diagram-audit/issue-45-auth-session-r2dbc-01.svg.log
docs/assets/readme-diagrams/issue-46-outbox-realtime-r2dbc-01.svg	docs/assets/readme-diagrams/issue-46-outbox-realtime-r2dbc-01.png	diagram	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3600x2320	/tmp/exposed-r2dbc-diagram-audit/issue-46-outbox-realtime-r2dbc-01.svg.log
docs/assets/readme-diagrams/issue-47-http-outbox-idempotency-r2dbc-01.svg	docs/assets/readme-diagrams/issue-47-http-outbox-idempotency-r2dbc-01.png	diagram	PASS	PASS	PASS	PASS	PASS	PASS	PASS	SKIP	PASS	3600x2320	/tmp/exposed-r2dbc-diagram-audit/issue-47-http-outbox-idempotency-r2dbc-01.svg.log
